date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:13	25086/25086	U-----	200	untouched ('OK')	text/html	etag:W/%2261fe-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/BasicIo.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/BasicIo.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:23:14	60156/60156	U-----	200	untouched ('OK')	text/html	etag:W/%22eafc-40203ba15f040%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/BasicJpeg.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/BasicJpeg.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:23:14	16416/16416	U-----	200	untouched ('OK')	text/html	etag:W/%224020-40203ba15f040%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/BasicJpegIo.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/BasicJpegIo.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:23:15	9900/9900	U-----	200	untouched ('OK')	text/html	etag:W/%2226ac-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/ByteCounter.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/ByteCounter.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:23:15	77291/77291	U-----	200	untouched ('OK')	text/html	etag:W/%2212deb-40203ba253280%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/CIFF.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/CIFF.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:23:16	16439/16439	U-----	200	untouched ('OK')	text/html	etag:W/%224037-40203ba253280%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Entry.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Entry.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:23:16	152091/152091	U-----	200	untouched ('OK')	text/html	etag:W/%222521b-40203ba253280%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Exif.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Exif.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:23:17	13242/13242	U-----	200	untouched ('OK')	text/html	etag:W/%2233ba-40203b9f76bc0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/FileFormatException.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/FileFormatException.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:23:17	47964/47964	U-----	200	untouched ('OK')	text/html	etag:W/%22bb5c-40203ba3474c0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Flashpix.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Flashpix.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:23:18	18494/18494	U-----	200	untouched ('OK')	text/html	etag:W/%22483e-40203ba3474c0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/IFD.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/IFD.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
